"artist","song","lyrics"
"Bon Iver","Hey, Ma","I waited outside I took it remote I wanted a bath ""Tell the story or he goes"" ""Tell the story or he goes""  Full time, you talk your money up While it's living in a coal mine Tall time to call your Ma Hey Ma, hey Ma Tall vote, you know you mope it up Well, you wanted it your whole life You're back and forth with light  I waited outside I was tokin' on dope I hoped it all wunt go in a minute With the past that you know I wanted all that mind sugar I want it all mine I had a heavy mind, sugar I took it, it was right  Full time, you talk your money up While it's living in a coal mine Tall time to call your Ma Hey Ma, hey Ma Tall vote, you know you mope it up Well, you wanted it your whole life You're back and forth with light  You're back and forth You're back and forth You go back and forth And then you're back and forth And back and forth  I waited outside Then you took me in the room And you offered up the truth My eyes crawling up the window to the wall From dusk 'til dawn Let me talk to 'em Let me talk to 'em all  Full time, you talk your money up While it's living in a coal mine Tall time to call your Ma Hey Ma, hey Ma Tall vote, you know you mope it up Well, you wanted it your whole life You're back and forth with light12"
"Ariana Grande","7 Rings","Yeah, breakfast at Tiffany's and bottles of bubbles Girls with tattoos who like getting in trouble Lashes and diamonds, ATM machines Buy myself all of my favorite things (Yeah) Been through some bad shit, I should be a sad bitch Who woulda thought it'd turn me to a savage? Rather be tied up with calls and not strings Write my own checks like I write what I sing, yeah (Yeah)  My wrist, stop watchin', my neck is flossy Make big deposits, my gloss is poppin' You like my hair? Gee, thanks, just bought it I see it, I like it, I want it, I got it (Yeah)  I want it, I got it, I want it, I got it I want it, I got it, I want it, I got it You like my hair? Gee, thanks, just bought it I see it, I like it, I want it, I got it (Yep) Wearing a ring, but ain't gon' be no ""Mrs."" Bought matching diamonds for six of my bitches I'd rather spoil all my friends with my riches Think retail therapy my new addiction Whoever said money can't solve your problems Must not have had enough money to solve 'em They say, ""Which one?"" I say, ""Nah, I want all of 'em"" Happiness is the same price as red-bottoms  My smile is beamin' (Yeah), my skin is gleamin' (Is gleamin') The way it shine, I know you've seen it (You've seen it) I bought a crib just for (Just for) the closet (Closet) Both his and hers, I want it, I got it, yeah  I want it, I got it, I want it, I got it I want it, I got it, I want it, I got it (Baby) You like my hair? Gee, thanks, just bought it (Oh yeah) I see it, I like it, I want it, I got it (Yep)  Yeah, my receipts be lookin' like phone numbers If it ain't money, then wrong number Black card is my business card The way it be settin' the tone for me I don't mean to brag, but I be like, ""Put it in the bag,"" yeah When you see them racks, they stacked up like my ass, yeah Shoot, go from the store to the booth Make it all back in one loop, gimme the loot Never mind, I got the juice Nothing but net when we shoot Look at my neck, look at my jet Ain't got enough money to pay me respect Ain't no budget when I'm on the set If I like it, then that's what I get, yeah I want it, I got it, I want it, I got it (Oh yeah) I want it, I got it, I want it, I got it (Oh yeah, yeah) You like my hair? Gee, thanks, just bought it I see it, I like it, I want it, I got it (I see, yep)470"
"H.E.R.","Hard Place","Mmm, mmm-hmm, mmm-hmm, mmm, eh  Wanna believe what you say But I hate you on most days You've been testing my faith and my patience, yeah And you know that I be head strong But you know that you be dead wrong Telling me to relax when I'm reacting  But I, I'd rather fight Than lose sleep at night At least you're all mine And if I have to choose My heart or you I'm gonna lose, yeah  What if nothing ever will change? Oh, I'm caught between your love and a hard place Oh, I wish there was a right way I'm caught between your love and a hard place, oh Woah, oh oh woah, oh oh woah, oh oh woah  Do I even have a choice when- I'm gonna have to pick my poison Yeah, you hurt me so good, it's so good And even when you cause tears You're the one who wiped them away Maybe that's the reason I stay, I stay  But I, I'd rather fight Than lose sleep at night At least you're all mine And if I have to choose My heart or you I'm gonna lose  What if nothing ever will change? Oh, I'm caught between your love and a hard place Oh, I wish there was a right way I'm caught between your love and a hard place, oh Woah, oh oh woah, oh oh woah, oh oh woah What if nothing ever will change? I'm caught between your love and a hard place Ooh, I wish there was a right way, yeah I'm caught between your love and a hard place, ooh woah ooh Woah, oh oh woah, oh oh woah, oh oh woah Oh, I'm caught between your love and a hard place Woah, oh oh woah, oh oh woah, oh oh woah Oh, I wish there was a right way Woah, oh oh woah, oh oh woah, oh oh woah I'm caught between your love and a hard place, oh Woah, oh oh woah, oh oh woah, oh oh woah  I'm caught between your love and a hard place What if nothing will ever change? I'm caught between your love and a hard place7"
"Khalid","Talk","Can we just talk? Can we just talk? Talk about where we're goin' Before we get lost, lend me your thoughts Can't get what we want without knowin' I've never felt like this before I apologize if I'm movin' too far Can we just talk? Can we just talk? Figure out where we're goin'  Yeah, started off right I can see it in your eyes I can tell that you're wantin' more What's been on your mind? There's no reason we should hide Tell me somethin' I ain't heard before  Oh, I've been dreamin' 'bout it And it's you I'm on So stop thinkin' 'bout it  Can we just talk? Can we just talk? Talk about where we're goin' Before we get lost, lend me your thoughts (Yeah) Can't get what we want without knowin' (No) I've never felt like this before I apologize if I'm movin' too far Can we just talk? Can we just talk? Figure out where we're goin'  Oh, nah Penthouse view, left some flowers in the room I'll make sure I leave the door unlocked Now I'm on the way, swear I won't be late I'll be there by five o'clock  Oh, you've been dreamin' 'bout it And I'm what you want So stop thinkin' 'bout it  Can we just talk? (Oh) Can we just talk? Talk about where we're goin' Before we get lost, lend me your thoughts Can't get what we want without knowin' I've never felt like this before I apologize if I'm movin' too far Can we just talk? Can we just talk? Figure out where we're goin'  Figure out where we're goin'45"
"Lil Nas X feat. Billy Ray Cyrus","Old Town Road","Yeah, I'm gonna take my horse to the old town road I'm gonna ride 'til I can't no more I'm gonna take my horse to the old town road I'm gonna ride 'til I can't no more (Kio, Kio) I got the horses in the back Horse tack is attached Hat is matte black Got the boots that's black to match Ridin' on a horse, ha You can whip your Porsche I been in the valley You ain't been up off that porch, now  Can't nobody tell me nothin' You can't tell me nothin' Can't nobody tell me nothin' You can't tell me nothin'  Ridin' on a tractor Lean all in my bladder Cheated on my baby You can go and ask her My life is a movie Bull ridin' and boobies Cowboy hat from Gucci Wrangler on my booty  Can't nobody tell me nothin' You can't tell me nothin' Can't nobody tell me nothin' You can't tell me nothin'  Yeah, I'm gonna take my horse to the old town road I'm gonna ride 'til I can't no more I'm gonna take my horse to the old town road I'm gonna ride 'til I can't no more I got the hor-134"
"Post Malone & Swae Lee","Sunflower","Ayy, ayy, ayy, ayy (Ooh) Ooh, ooh, ooh, ooh (Ooh) Ayy, ayy Ooh, ooh, ooh, ooh  Needless to say, I keep in check She was a bad-bad, nevertheless (Yeah) Callin' it quits now, baby, I'm a wreck (Wreck) Crash at my place, baby, you're a wreck (Wreck) Needless to say, I'm keeping in check She was a bad-bad, nevertheless Callin' it quits now, baby, I'm a wreck Crash at my place, baby, you're a wreck Thinkin' in a bad way, losin' your grip Screamin' at my face, baby, don't trip Someone took a big L, don't know how that felt Lookin' at you sideways, party on tilt Ooh-ooh, some things you just can't refuse She wanna ride me like a cruise and I'm not tryna lose  Then you're left in the dust, unless I stuck by ya You're a sunflower, I think your love would be too much Or you'll be left in the dust, unless I stuck by ya You're the sunflower, you're the sunflower  Every time I'm leavin' on ya (Ooh) You don't make it easy, no (No, no) Wish I could be there for ya (Ooh) Give me a reason to, oh (Oh) Every time I'm walkin' out (Oh) I can hear you tellin' me to turn around (Oh, oh) Fightin' for my trust and you won't back down (No) Even if we gotta risk it all right now, oh (Now) I know you're scared of the unknown (Known) You don't wanna be alone (Alone) I know I always come and go (And go) But it's out of my control  And you'll be left in the dust, unless I stuck by ya You're the sunflower, I think your love would be too much Or you'll be left in the dust, unless I stuck by ya You're the sunflower, you're the sunflower (Yeah)348"
"Lady Gaga","Always Remember Us This Way","That Arizona sky Burnin' in your eyes You look at me and babe, I wanna catch on fire It’s buried in my soul Like California gold You found the light in me that I couldn’t find  So when I'm all choked up and I can't find the words Every time we say goodbye, baby, it hurts When the sun goes down And the band won't play I'll always remember us this way  Lovers in the night Poets tryna write We don't know how to rhyme, but damn, we try But all I really know You're where I wanna go The part of me that's you will never die  So when I'm all choked up and I can't find the words Every time we say goodbye, baby, it hurts When the sun goes down And the band won't play I'll always remember us this way Oh yeah I don't wanna be just a memory, baby, yeah Hoo, hoo, hoo, hoo, hoo, hoo Hoo, hoo, hoo, hoo, hoo, hoo Hoo, hoo, hoo, hoo, hoo hoo hooooooooo  So when I'm all choked up and I can't find the words Every time we say goodbye, baby, it hurts When the sun goes down and the band won't play I'll always remember us this way Way yeah  When you look at me and the whole world fades I'll always remember us this way  Oooh, oooh, hmmmm Oooh, oooh, hmmmm38"
"Tanya Tucker","Bring My Flowers Now","So I said, ""Listen, I got..."" and I said, uh, somethin' about, uh, goin' to somebody's funeral or something. She... I said, ""Man,"" I said, I said, ""Bring my flowers now, while I'm living""  Bring my flowers now, while I'm living I won't need your love when I'm gone Don't spend time, tears, or money On my old breathless body If your heart is in them flowers, bring 'em on  All the miles cast a long shadow I'd take a couple back if I could I'd have learned to play guitar Tell my daddy more I loved him But I believe, for the most part, I done good  There's always sunrise and rainbows and babies And the little things I cherish on my way Even though one day They'll bury me and Jesse Ray I just know we're gonna ride again someday  Bring my flowers now, while I'm living I won't need your love when I'm gone Don't spend time, tears, or money On my ol' breathless body Well, if your heart is in them flowers, bring 'em on The days are long, but the years are lightning They're bright and they will never strike again I wish I'd been a better friend A better daughter to my mother There's no going back when your back's against the wind  So if you got love, then you're sittin' on a gold mine And you can't take it with you when you go So don't wait to help your sister Forgive your brother and your neighbor We all think we've got the time until we don't  Bring my flowers now, while I'm living I won't need your love when I'm gone Don't spend time, tears, or money On my old breathless body If your heart is in them flowers, bring 'em on If your heart is in them flowers, bring 'em on1"
"Taylor Swift","Lover","We could leave the Christmas lights up 'til January And this is our place, we make the rules And there's a dazzling haze, a mysterious way about you, dear Have I known you twenty seconds or twenty years? Can I go where you go? Can we always be this close? Forever and ever, ah Take me out and take me home You're my, my, my, my lover  We could let our friends crash in the living room This is our place, we make the call And I'm highly suspicious that everyone who sees you wants you I've loved you three summers now, honey, but I want 'em all Can I go where you go? Can we always be this close? Forever and ever, ah Take me out and take me home (Forever and ever) You're my, my, my, my lover Ladies and gentlemen, will you please stand? With every guitar string scar on my hand I take this magnetic force of a man to be my lover My heart's been borrowed and yours has been blue All's well that ends well to end up with you Swear to be overdramatic and true to my lover And you'll save all your dirtiest jokes for me And at every table, I'll save you a seat, lover Can I go where you go? Can we always be this close? Forever and ever, ah Take me out and take me home (Forever and ever) You're my, my, my, my Oh, you're my, my, my, my Darling, you're my, my, my, my lover134"
"Lana Del Rey","Norman Fucking Rockwell","Goddamn, man-child You fucked me so good that I almost said ""I love you"" You're fun and you’re wild But you don't know the half of the shit that you put me through Your poetry's bad and you blame the news But I can’t change that, and I can't change your mood, ah  'Cause you're just a man It's just what you do Your head in your hands As you color me blue Yeah, you're just a man All through and through Your head in your hands As you color me blue Blue, blue, blue  Goddamn, man-child You act like a kid even though you stand six foot two Self-loathing poet, resident Laurel Canyon know-it-all You talk to the walls when the party gets bored of you But I don't get bored, I just see it through Why wait for the best when I could have you? You?  'Cause you’re just a man It’s just what you do Your head in your hands As you color me blue Yeah, you're just a man All through and through Your head in your hands As you color me blue Blue, blue You make me blue  Blue, blue Blue, blue, blue Blue, blue, blue116"
"Lewis Capaldi","Someone You Loved","I'm going under, and this time, I fear there's no one to save me This all or nothing really got a way of driving me crazy I need somebody to hear,  somebody to know Somebody to have, somebody to hold It's easy to say, but it's never the same I guess I kinda liked the way you numbed all the pain  Now, the day bleeds into nightfall And you're not here to get me through it all I let my guard down and then you pulled the rug I was getting kinda used to being someone you loved  I'm going under, and this time, I fear there's no one to turn to This all or nothing way of loving got me sleeping without you Now, I need somebody to know, somebody to hear Somebody to have, just to know how it feels It's easy to say, but it's never the same I guess I kinda like the way you help me escape  Now, the day bleeds into nightfall And you're not here to get me through it all I let my guard down and then you pulled the rug I was getting kinda used to being someone you loved  And I tend to close my eyes when it hurts sometimes I fall into your arms I'll be safe in your sound till I come back around  For now, the day bleeds into nightfall And you're not here to get me through it all I let my guard down and then you pulled the rug I was getting kinda used to being someone you loved But now the day bleeds into nightfall And you're not here to get me through it all I let my guard down and then you pulled the rug I was getting kinda used to being someone you loved I let my guard down and then you pulled the rug I was getting kinda used to being someone you loved168"
"Lizzo","Truth Hurts","Why men great 'til they gotta be great? Woo!  I just took a DNA test, turns out I'm 100% that bitch Even when I'm crying crazy Yeah, I got boy problems, that's the human in me Bling bling, then I solve 'em, that's the goddess in me You coulda had a bad bitch, non-committal Help you with your career just a little You're 'posed to hold me down, but you're holding me back And that's the sound of me not calling you back  Why men great 'til they gotta be great? ('Til they gotta be great) Don't text me, tell it straight to my face (Tell it straight to my face) Best friend sat me down in the salon chair (Down in the salon chair) Shampoo press, get you out of my hair Fresh photos with the bomb lighting (With the bomb lighting) New man on the Minnesota Vikings (Minnesota Vikings) Truth hurts, needed something more exciting (Yee) Bom bom bi dom bi dum bum bay (Eh, yeah, yeah, yeah)  You tried to break my heart? Oh, that breaks my heart That you thought you ever had it No, you ain't from the start Hey, I'm glad you're back with your bitch I mean, who would wanna hide this? I will never, ever, ever, ever, ever be your side chick I put the sing in single Ain't worried 'bout a ring on my finger So you can tell your friend, ""Shoot your shot"" when you see him It's okay, he already in my DMs  Why men great 'til they gotta be great? ('Til they gotta be great) Don't text me, tell it straight to my face (Tell it straight to my face) Best friend sat me down in the salon chair (Down in the salon chair) Shampoo press, get you out of my hair Fresh photos with the bomb lighting (With the bomb lighting) New man on the Minnesota Vikings (Minnesota Vikings) Truth hurts, needed something more exciting (Yee) Bom bom bi dom bi dum bum bay (Eh, yeah, yeah, yeah)  I'ma hit you back in a minute (Yeah, yeah) I don't play tag, bitch, I been it (One time) We don't fuck with lies (Two times), we don't do goodbyes (Woo) We just keep it pushing like ay-ay-ay I'ma hit you back in a minute (Yeah, yeah) I don't play tag, bitch, I been it (One time) We don't fuck with lies (Two times), we don't do goodbyes (Woo) We just keep it pushing like ay-ay-ay (Woo)  Why men great 'til they gotta be great? ('Til they gotta be great) Don't text me, tell it straight to my face (Tell it straight to my face) Best friend sat me down in the salon chair (Down in the salon chair) Shampoo press, get you out of my hair Fresh photos with the bomb lighting (With the bomb lighting) New man on the Minnesota Vikings (Minnesota Vikings) Truth hurts, needed something more exciting (Yee) Bom bom bi dom bi dum bum bay (Eh, yeah, yeah, yeah) With the bomb lighting Minnesota Vikings Yee, eh, yeah, yeah, yeah66"
"Billie Eilish","Everything I Wanted","I had a dream I got everything I wanted Not what you'd think And if I'm bein' honest It might've been a nightmare To anyone who might care Thought I could fly (Fly) So I stepped off the Golden, mm Nobody cried (Cried, cried, cried, cried) Nobody even noticed I saw them standing right there Kinda thought they might care (Might care, might care)  I had a dream I got everything I wanted But when I wake up, I see You with me  And you say, ""As long as I'm here, no one can hurt you Don't wanna lie here, but you can learn to If I could change the way that you see yourself You wouldn't wonder why you hear 'They don't deserve you'""  I tried to scream But my head was underwater They called me weak Like I'm not just somebody's daughter Coulda been a nightmare But it felt like they were right there And it feels like yesterday was a year ago But I don't wanna let anybody know 'Cause everybody wants something from me now And I don't wanna let 'em down  I had a dream I got everything I wanted But when I wake up, I see You with me  And you say, ""As long as I'm here, no one can hurt you Don't wanna lie here, but you can learn to If I could change the way that you see yourself You wouldn't wonder why you hear 'They don't deserve you'""  If I knew it all then, would I do it again? Would I do it again? If they knew what they said would go straight to my head What would they say instead? If I knew it all then, would I do it again? Would I do it again? If they knew what they said would go straight to my head What would they say instead?304"
"Beyoncé","Black Parade","Ah  I'm goin' back to the South I'm goin' back, back, back, back Where my roots ain't watered down Growin', growin' like a Baobab tree Of life on fertile ground, my ancestors put me on game Ankh charm on gold chains, with my Oshun energy, oh Drip all on me, woo, Ankara Dashiki print Hol' up, don't I smell like such a nag champa incense? Yeah, pure ice (Ice), ice (Ice), buss down Uh, flooded (Flooded), flooded (Flooded), on my wrist, out Ooh, goin' up, goin' up, motherland, motherland drip on me Ooh, melanin, melanin, my drip is skin deep, like Ooh, motherland, motherland, motherland, motherland drip on me Ooh, yeah, I can't forget my history is her-story, yeah Being black, maybe that's the reason why They always mad, yeah, they always mad, yeah Been past 'em, I know that's the reason why They all big mad and they always have been  Honey, come around my way, around my hive Whenever mama say so, mama say Here I come on my throne, sittin' high Follow my parade, oh, my parade Talkin' slick to my folk (My folk), nip that lip like lipo (Lipo) You hear them swarmin', right? Bees is known to bite Now here we come on our thrones, sittin' high Follow my parade, oh, my parade  Yeah, yeah, I'm for us, all black All chrome (Yeah), black-owned (Yeah) Black tints (Yeah), matte black (Yeah, yeah) Roll by, my window down, let 'em see who in it Crack a big smile (Ding) Go figure, me and Jigga, fifty 'leven children They like, ""Chick, how?"" I charge my crystals in a full moon You could send them missiles, I'ma send my goons Baby sister reppin' Yemaya (Yemaya) Trust me, they gon' need an army (Ah) Rubber bullets bouncin' off me (Ah) Made a picket sign off your picket fence (Ah) Take it as a warning (Ah, ah) Waist beads from Yoruba (Woo) Four hunnid billi', Mansa Musa (Woo) Stroll line to the barbeque Put us any-damn-where, we gon' make it look cute Pandemic fly on the runway, in my hazmat Children' runnin' through the house to my art, all black Ancestors on the wall, let the ghosts chit-chat (Ancestors on the wall, let the ghosts chit-chat) Hold my hands, we gon' pray together Lay down, face down in the gravel Woo, wearin' all attire white to the funeral Black love, we gon' stay together Curtis Mayfield on the speaker (Woo) Lil' Malcolm, Martin mixed with mama Tina (Woo) Need another march, lemme call Tamika (Woo) Need peace and reparation for my people (Woo) Fuck these laid edges, I'ma let it shrivel up (Shrivel up) Fuck this fade and waves, I'ma let it dread all up (Dread all up) Put your fist up in the air, show black love (Show black love) Motherland drip on me, motherland, motherland drip on me Honey, come around my way, around my hive Whenever mama say so, mama say Here I come on my throne, sittin' high Follow my parade, oh, my parade Talkin' slick to my folk (My folk), nip that lip like lipo (Lipo) Hear 'em swarmin', right? (Zz) Bees is known to bite (Zz, zz) Now here we come on our thrones, sittin' high Follow my parade, oh, my parade  We got rhythm (We got rhythm), we got pride (We got pride) We birth kings (We birth kings), we birth tribes (We birth tribes) Holy river (Holy river), holy tongue (Holy tongue) Speak the glory (Speak the glory), feel the love (Feel the love) Motherland, motherland drip on me, hey, hey, hey Motherland, motherland drip on me, hey, hey, hey I can't forget my history, it's her-story Motherland drip on me, motherland, motherland drip on me  Honey, come around my way, around my hive (My) Whenever mama say so (Hey), mama say (Hey, hey) Here I come on my throne, sittin' high (High) Follow my parade, oh, my parade (Hey, hey, hey) Talkin' slick to my folk (My folk), nip that lip like lipo (Lipo) Hear 'em swarmin', right? (Zz) Bees is known to bite (Zz, zz) Now here we come on our thrones, sittin' high Follow my parade, oh, black parade38"
"Black Pumas","Colors","I woke up to the morning sky first Baby blue, just like we rehearsed When I get up off this ground, I shake leaves back down To the brown, brown, brown, brown 'til I’m clean Then I walked where I'd be shaded by the trees By a meadow of green For about a mile I'm headed to town, town, town in style  With all my favorite colors, yes, sir All my favorite colors, right on My sisters and my brothers see ’em like no other All my favorite colors  It's a good day to be, a good day for me A good day to see my favorite colors, colors My sisters and my brothers, they see 'em like no other All my favorite colors  Now take me to the other side Little bitty blues birds fly In gray clouds, or white walls, or blue skies We gon' fly, feel alright And we gon', ooh-ooh, ooh-ooh, ooh-ooh, ooh, yeah They sound like ooh-ooh, ooh-ooh, ooh-ooh, ooh, yeah And the least I can say, I anticipate A homecome parade as we renegade in the morning, right on  With all my favorite colors, yes, sir All my favorite colors, yes, ma'am My sisters and my brothers see 'em like no other All my favorite colors Ha, oh  Closer, ooh Love machine  All my favorite colors, right All my favorite colors, yes, ma'am My sisters and my brothers see ’em like no other All my favorite colors  It’s a good day to be, a good day for me A good day to see my favorite colors, colors My sisters and my brothers, they see 'em like no other All my favorite colors16"
"DaBaby feat. Roddy Ricch","Rockstar","Woo, woo I pull up like How you pull up, Baby? How you pull up? (Oh, oh, oh) How you pull up? I pull up (Woo, SethInTheKitchen)  Let's go Brand new Lamborghini, fuck a cop car With the pistol on my hip like I'm a cop (Yeah, yeah, yeah) Have you ever met a real nigga rockstar? (Yeah) This ain't no guitar, bitch, this a Glock (Woo) My Glock told me to promise you gon' squeeze me (Woo) You better let me go the day you need me (Woo) Soon as you up me on that nigga, get to bustin' (Woo) And if I ain't enough, go get the chop  It's safe to say I earned it, ain't a nigga gave me nothin' (Yeah, yeah, yeah) I'm ready to hop out on a nigga, get to bustin' Know you heard me say, ""You play, you lay,"" don't make me push the button Full of pain, dropped enough tears to fill up a fuckin' bucket Goin' for buckets, I bought a chopper I got a big drum, it hold a hundred, ain't goin' for nothin' I'm ready to air it out on all these niggas, I can see 'em runnin' Just talked to my mama, she hit me on FaceTime just to check up on me and my brother I'm really the baby, she know that her youngest son was always guaranteed to get the money (Okay, let's go) She know that her baby boy was always guaranteed to get the loot She know what I do, she know 'fore I run from a nigga, I'ma pull it out and shoot (Boom) PTSD, I'm always waking up in cold sweats like I got the flu My daughter a G, she saw me kill a nigga in front of her before the age of two And I'll kill another nigga too 'Fore I let another nigga do somethin' to you Long as you know that, don't let nobody tell you different Daddy love you (Yeah, yeah)  Let's go Brand new Lamborghini, fuck a cop car With the pistol on my hip like I'm a cop (Yeah, yeah, yeah) Have you ever met a real nigga rockstar? (Yeah) This ain't no guitar, bitch, this a Glock (Woo) My Glock told me to promise you gon' squeeze me (Woo) You better let me go the day you need me (Woo) Soon as you up me on that nigga, get to bustin' (Woo, yeah) And if I ain't enough, go get the chop (Yeah, yeah)  Keep a Glocky when I ride in the Suburban 'Cause the codeine had a young nigga swervin' I got the mop, watch me wash 'em like detergent And I'm ballin', that's why it's diamonds on my jersey Slide on opps' side and flip the block back, yeah, yeah My junior popped him and left him lopsided, yeah, yeah We spin his block, got the rebound, Dennis Rodman Fool me one time, you can't cross me again Twelve hundred horsepower, I get lost in the wind If he talkin' on the yard, the pen' dogs'll take his chin Maybach SUV for my refugees Buy blocks in the hood, put money in the streets I was solo when the opps caught me at the gas station Had it on me, thirty thousand, thought it was my last day But they ain't even want no smoke If I had to choose it, murder what she wrote Let's go Brand new Lamborghini, fuck a cop car With the pistol on my hip like I'm a cop (Yeah, yeah, yeah) Have you ever met a real nigga rockstar? (Yeah) This ain't no guitar, bitch, this a Glock (Woo) My Glock told me to promise you gon' squeeze me (Woo) You better let me go the day you need me (Woo) Soon as you up me on that nigga, get to bustin' (Woo) And if I ain't enough, go get the chop173"
"Dua Lipa","Don't Start Now","If you don't wanna see me  Did a full one-eighty, crazy Thinking 'bout the way I was Did the heartbreak change me? Maybe But look at where I ended up  I'm all good already So moved on, it's scary I'm not where you left me at all, so  If you don't wanna see me dancing with somebody If you wanna believe that anything could stop me  Don't show up, don't come out Don't start caring about me now Walk away, you know how Don't start caring about me now  Aren't you the guy who tried to Hurt me with the word ""goodbye""? Though it took some time to survive you I'm better on the other side  I'm all good already So moved on, it's scary I'm not where you left me at all, so  If you don't wanna see me dancing with somebody If you wanna believe that anything could stop me (Don't, don't, don't)  Don't show up, don't come out Don't start caring about me now Walk away, you know how Don't start caring about me now ('Bout me now, 'bout me)  Up, up Don't come out, out, out Don't show up, up, up Don't start now (Oh) Up, up Don't come out, out I'm not where you left me at all, so  If you don't wanna see me dancing with somebody If you wanna believe that anything could stop me Don't show up (Don't show up), don't come out (Don't come out) Don't start caring about me now ('Bout me now) Walk away (Walk away), you know how (You know how) Don't start caring about me now (So)  Up, up Don't come out, out, out Don't show up, up, up Walk away, walk away (So) Up, up Don't come out, out, out Don't show up, up, up Walk away, walk away, oh109"
"Megan Thee Stallion feat. Beyoncé","Savage","I'm that bitch (Yeah) Been that bitch, still that bitch (Ah) Will forever be that bitch (Forever be that bitch) Yeah (Ayy, ah)  I'm the hood Mona Lisa, break a nigga into pieces Had to X some cheesy niggas out my circle like a pizza (Yeah) I'm way too exclusive, I don't shop on Insta' boutiques All them lil' ass clothes only fit fake booties Bad bitch, still talking cash shit Pussy like water, I'm unbothered and relaxing I would never trip on a nigga if I had him Bitch, that's my trash, you the maid, so you bagged him, ah  I'm a savage (Yeah) Classy, bougie, ratchet (Yeah) Sassy, moody, nasty (Hey, hey, yeah) Acting stupid, what's happening? (Woah, woah) Bitch, what's happening? (Woah, woah) Bitch, I'm a savage, yeah Classy, bougie, ratchet, yeah Sassy, moody, nasty, huh Acting stupid, what's happening? Bitch, what's happening? (Ayy, ah)  Eat me and record it, but your edge-up all I'm showing (Ah) I keep my niggas private, so his AP all I'm showing (Baow) Beefing with you bitches really getting kinda boring If it ain't about the money, then you know I'm gon' ignore it I'm the shit, ooh (Ayy) I need a mop to clean the floor, it's too much drip, ooh (Too much drip, ooh) I keep a knot, I keep a watch, I keep a whip, ooh (I keep a whip, baow) Let's play a game, Simon says I'm still that bitch, ayy (Still that bitch) I'm still that bitch, yeah (Ah)  I'm a savage Classy, bougie, ratchet (Yeah) Sassy, moody, nasty (Yeah) Acting stupid, what's happening? (What's up?) Bitch, what's happening? (What's up?) Bitch, I'm a savage, yeah Classy, bougie, ratchet, yeah (Bitch) Sassy, moody, nasty, huh Acting stupid, what's happening? (What's up?) Bitch, what's happening?  Bitch, I'm lit like a match, ooh And any nigga I let hit is still attached, ooh That body right, but you know this pussy fat, ooh I drop a picture, now these bitches feel attacked, ayy Don't let that nigga gas you up and get you whacked, ooh I make a call and get a pussy nigga smacked, uh These bitches talkin' 'bout pulling up, well, where you at? Ooh I'm in a Lam', bitch, catch me if you can, ooh I'm kickin' bitches out they spot, Stalli' Chan, yeah (Ah, yeah) Niggas say I taste like sugar, but ain't shit sweet (Ah) Mwah Ayy, ayy, ooh, ooh, ooh, ooh, mwah47"
"Doja Cat","Say So","Day to night to morning, keep with me in the moment I'd let you had I known it, why don't you say so? Didn't even notice, no punches left to roll with You got to keep me focused; you want it? Say so Day to night to morning, keep with me in the moment I'd let you had I known it, why don't you say so? Didn't even notice, no punches left to roll with You got to keep me focused; you want it? Say so  It's been a long time since you fell in love You ain't coming out your shell, you ain't really been yourself Tell me, what must I do? (Do tell, my love) 'Cause luckily, I'm good at reading I wouldn't bug him, but he won't stop cheesin' And we can dance all day around it If you frontin', I'll be bouncing If you want it, scream it, shout it, babe Before I leave you dry  Day to night to morning, keep with me in the moment I'd let you had I known it, why don't you say so? Didn't even notice, no punches left to roll with You got to keep me focused; you want it? Say so Day to night to morning, keep with me in the moment I'd let you had I known it, why don't you say so? Didn't even notice, no punches left to roll with You got to keep me focused; you want it? Say so (Yeah)  Let me check my chest, my breath right quick (Ha) He ain't ever seen it in a dress like this (Ah) He ain't ever even been impressed like this Prolly why I got him quiet on the set like zip Like it, love it, need it bad Take it, own it, steal it fast Boy, stop playing, grab my ass Why you actin' like you shy? (Hot) Shut it, save it, keep it pushin' Why you beating 'round the bush? Knowin' you want all this woman Never knock it 'til you try (Yah, yah) All of them bitches hating I have you with me All of my niggas sayin' you mad committed Realer than anybody you had, and pretty All of the body-ody, the ass and titties  Day to night to morning, keep with me in the moment I'd let you had I known it, why don't you say so? Didn't even notice, no punches left to roll with You got to keep me focused; you want it? Say so Day to night to morning, keep with me in the moment I'd let you had I known it, why don't you say so? Didn't even notice, no punches left to roll with You got to keep me focused; you want it? Say so Mm-hmm Uh-huh, oh Uh-huh, uh-huh, uh-huh Mm-hmm Uh-huh, oh Uh-huh, uh-huh, uh-huh117"
